,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country
0,Minas,-34.38,-55.24,8.57,76,75,3.6,9.0,UY
1,Rikitea,-23.12,-134.97,21.42,70,0,9.43,21.42,PF
2,Mayo,38.89,-76.51,29.61,48,1,2.1,31.11,US
3,Severo-Kuril'sk,50.68,156.12,8.09,89,92,3.74,8.09,RU
4,Rabo de Peixe,37.8,-25.58,19.0,77,75,1.0,19.0,PT
5,Bushehr,28.97,50.84,31.74,46,0,3.36,31.74,IR
6,Talnakh,69.49,88.4,15.0,58,1,6.0,15.0,RU
7,Port Lincoln,-34.73,135.87,13.99,72,21,6.93,13.99,AU
8,Ushuaia,-54.8,-68.3,-2.0,92,75,2.1,-2.0,AR
9,Busselton,-33.65,115.33,6.63,87,0,4.21,7.78,AU
10,Hermanus,-34.42,19.23,12.22,90,64,2.62,12.22,ZA
11,Albany,42.6,-73.97,23.04,88,78,1.25,23.89,US
12,Hobart,-42.88,147.33,7.33,65,40,6.2,8.33,AU
13,Yar-Sale,66.83,70.83,13.83,74,21,3.24,13.83,RU
14,Provideniya,64.38,-173.3,9.0,81,40,6.0,9.0,RU
15,Chui,-33.7,-53.46,6.48,88,75,2.97,6.48,UY
16,Saint-Philippe,-21.36,55.77,14.94,77,86,2.6,20.0,RE
17,Grindavik,63.84,-22.43,10.0,81,75,5.1,10.0,IS
18,New Norfolk,-42.78,147.06,5.78,90,51,0.45,6.67,AU
19,Nikolskoye,59.7,30.79,15.5,82,40,3.0,16.0,RU
20,Hasaki,35.73,140.83,25.9,73,75,4.1,26.67,JP
21,Nichinan,31.6,131.37,20.0,94,75,1.5,20.0,JP
22,San Andrés,12.58,-81.7,29.0,79,40,5.1,29.0,CO
23,Danville,36.59,-79.39,29.64,48,1,2.1,30.0,US
24,Tuatapere,-46.13,167.68,3.89,83,60,1.34,3.89,NZ
25,Saskylakh,71.92,114.08,13.06,59,54,5.93,13.06,RU
26,Noyabrsk,63.2,75.45,15.19,85,90,4.6,15.19,RU
27,Khatanga,71.97,102.5,16.18,46,83,4.56,16.18,RU
28,Punta Arenas,-53.15,-70.92,0.78,94,100,2.6,1.0,CL
29,Kapaa,22.08,-159.32,28.42,62,1,6.2,29.44,US
30,Denpasar,-8.65,115.22,24.0,100,40,1.5,24.0,ID
31,Tuktoyaktuk,69.45,-133.04,5.0,93,90,6.2,5.0,CA
32,Mataura,-46.19,168.86,3.89,83,28,1.34,3.89,NZ
33,Torbay,47.67,-52.73,10.65,100,90,4.1,11.11,CA
34,Dukat,62.55,155.55,8.21,65,100,3.72,8.21,RU
35,St. George's,12.06,-61.75,29.0,74,20,10.3,29.0,GD
36,Upernavik,72.79,-56.15,3.69,80,7,4.16,3.69,GL
37,Butembo,0.15,29.28,13.62,96,0,0.91,13.62,CD
38,Port Elizabeth,-33.92,25.57,16.0,67,20,6.7,16.0,ZA
39,Mareeba,-17.0,145.43,20.8,70,28,3.58,22.22,AU
